epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.369,2.30382,29.9297,1.04711,0,0,0,0,2.30751,44.4747,0.95915,0.00014,0.00014,0.00014
2,16.975,2.07251,17.0587,0.93687,0.16422,0.25,0.11125,0.05023,2.02026,36.4545,0.89864,0.00028515,0.00028515,0.00028515
3,22.3691,1.79965,3.08024,0.92902,0.00973,0.75,0.00761,0.00417,2.09906,7144.03,0.95091,0.00041446,0.00041446,0.00041446
4,27.6597,1.711,2.05838,0.91443,0.00366,0.75,0.00313,0.00188,1.95579,inf,0.99775,0.00052793,0.00052793,0.00052793
5,33.3005,1.73642,1.66458,0.89066,0.21919,0.75,0.1866,0.07258,2.31045,19.5801,1.02413,0.00062556,0.00062556,0.00062556
6,39.6695,1.54968,1.26012,0.914,0.21919,0.75,0.1866,0.07258,0,3044,0,0.00070735,0.00070735,0.00070735
7,50.5856,1.8195,1.06652,0.92881,0.21919,0.75,0.1866,0.07258,0,inf,0,0.0007733,0.0007733,0.0007733
8,60.9566,1.8355,0.89697,0.89232,0.21919,0.75,0.1866,0.07258,0.39946,1465,0.36453,0.00082341,0.00082341,0.00082341
9,67.3207,1.81854,0.93677,0.913,0.21919,0.75,0.1866,0.07258,nan,nan,nan,0.00085768,0.00085768,0.00085768
10,73.4099,1.71802,1.0535,0.89424,0.21919,0.75,0.1866,0.07258,nan,nan,nan,0.00087611,0.00087611,0.00087611
11,79.7054,1.62378,0.90108,0.90426,0.21919,0.75,0.1866,0.07258,0,nan,0,0.0008787,0.0008787,0.0008787
12,86.1371,1.49118,0.75814,0.90592,0.21919,0.75,0.1866,0.07258,0,nan,0,0.00086545,0.00086545,0.00086545
13,91.6052,1.40401,0.7658,0.85137,0.21919,0.75,0.1866,0.07258,0,nan,0,0.000812,0.000812,0.000812
14,100.325,1.46041,0.75707,0.89249,0.21919,0.75,0.1866,0.07258,1.77538,inf,11.602,0.000713,0.000713,0.000713
15,106.476,1.36553,0.66283,0.87311,0.21919,0.75,0.1866,0.07258,0.51474,inf,1.86699,0.000614,0.000614,0.000614
16,117.003,1.42987,0.65743,0.82992,0.21919,0.75,0.1866,0.07258,3.23529,5879.09,1.23282,0.000515,0.000515,0.000515
17,128.696,1.22583,0.7091,0.84182,0.04681,0.5,0.03396,0.02138,1.56552,45.2829,0.8765,0.000416,0.000416,0.000416
18,134.536,1.25392,0.59147,0.85396,0.98415,1,0.995,0.62196,1.724,1.08168,0.87142,0.000317,0.000317,0.000317
19,144.922,1.18597,0.59575,0.84527,0.98124,1,0.995,0.66375,1.33797,0.68075,0.83046,0.000218,0.000218,0.000218
20,152.125,1.07885,0.56478,0.84999,0.98425,1,0.995,0.71467,1.33886,0.58344,0.82511,0.000119,0.000119,0.000119
